,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15
CEP,0.16513455399567423,0.05350363549316209,0.2675547196175143,2.0073402755753755,1.6719730584241368,0.10591450886434353,0.07923453203692819,0.2910067128417766,0.16322487171442343,0.16899894893963135,0.0225956330682517,0.07958693825858884,0.8939511302196944,7.561396476239215,0.27518333448421234,7.14088764958075e-05
DSCT,0.011818361271808572,0.04169548203161465,0.42782881153973806,1.939750937965675,1.6780620500324523,0.06430930757050088,0.05331301175508911,0.35066876368562017,0.05400209074299816,0.15003941742693366,0.011599708434481359,0.03957609203373829,1.2908605908994821,23.48809015752049,0.07531337811568091,2.8788603339670728e-05
RR,0.17002348572704246,0.03398881423140513,0.2834907913346875,2.495233309753431,1.5802984323178964,0.09621529775049437,0.055464506950235457,0.11763692139274022,0.173468457240853,0.10146443073189762,0.01317582788647665,0.04834114324241637,0.2918613861308443,1.0456289934914915,0.12851718761024467,4.6826594525096134e-05
RRc,0.04013033574538304,0.03212766717194934,0.291822338069958,1.3827998491194895,2.1910099489231256,0.04665157915741497,0.061337102864549,0.3731192348486361,0.06231132493790772,0.11000239897570628,0.006900910969483793,0.043364608852049326,0.28151265389845737,2.05436995618266,0.15012516675754584,3.360727578941728e-05
