,class,pred
0,DSCT,DSCT
1,DSCT,RR
2,CEP,RRc
3,RRc,RRc
4,DSCT,DSCT
5,DSCT,DSCT
6,DSCT,DSCT
7,RRc,RRc
8,DSCT,DSCT
9,RR,RR
10,RRc,RRc
11,RR,RR
12,RR,RR
13,CEP,CEP
14,CEP,CEP
15,CEP,DSCT
16,DSCT,DSCT
17,CEP,CEP
18,DSCT,DSCT
19,CEP,CEP
20,DSCT,DSCT
21,DSCT,DSCT
22,DSCT,DSCT
23,RR,RRc
24,DSCT,DSCT
25,CEP,CEP
26,DSCT,DSCT
27,RR,RR
28,DSCT,DSCT
29,RRc,CEP
30,DSCT,DSCT
31,CEP,CEP
32,RR,RR
33,CEP,CEP
34,CEP,CEP
35,DSCT,DSCT
36,CEP,DSCT
37,RRc,RRc
38,CEP,CEP
39,RRc,CEP
40,CEP,DSCT
41,DSCT,DSCT
42,CEP,CEP
43,CEP,CEP
44,RRc,RRc
45,RR,RR
46,RRc,RRc
47,RRc,RRc
48,RRc,RRc
49,RRc,RRc
50,CEP,CEP
51,DSCT,DSCT
52,RRc,CEP
53,DSCT,DSCT
54,DSCT,DSCT
55,CEP,DSCT
56,RRc,RRc
57,CEP,CEP
58,CEP,CEP
59,RRc,RRc
60,DSCT,DSCT
61,RR,RRc
62,DSCT,RRc
63,RR,RR
64,CEP,RR
65,CEP,CEP
66,DSCT,DSCT
67,RR,RR
68,CEP,DSCT
69,RR,RRc
70,RR,RR
71,RRc,RR
72,RRc,RRc
73,DSCT,DSCT
74,RRc,RRc
75,RRc,RRc
76,DSCT,DSCT
77,CEP,DSCT
78,CEP,CEP
79,RR,RR
80,RRc,DSCT
81,RR,RR
82,DSCT,DSCT
83,CEP,CEP
84,DSCT,DSCT
85,DSCT,DSCT
86,CEP,CEP
87,DSCT,DSCT
88,CEP,DSCT
89,RR,RR
90,RRc,DSCT
91,DSCT,DSCT
92,RRc,RRc
93,RRc,RRc
94,RRc,RRc
95,RRc,CEP
96,RR,RR
97,DSCT,DSCT
98,RRc,DSCT
