,Feature_0,Feature_1,Feature_2,Feature_3
CEP,3.296322016473539,0.1122865022059612,0.19435455393628,2.192755531730265
DSCT,0.08675898859224579,0.8248920933043492,0.045274614581281,2.993455163842669
RR,0.58038310209606,0.14368195504289621,0.2426150335892992,1.8903320945247404
RRc,0.3331988806963707,0.1779301826207963,0.17066169108689386,4.046864057827814
