,class,pred
0,BYDra,RSCVN
1,BYDra,RSCVN
2,RSCVN,BYDra
3,RSCVN,RSCVN
4,RSCVN,BYDra
5,RSCVN,BYDra
6,RSCVN,RSCVN
7,RSCVN,RSCVN
8,BYDra,BYDra
9,RSCVN,BYDra
10,RSCVN,RSCVN
11,RSCVN,RSCVN
12,BYDra,RSCVN
13,BYDra,BYDra
14,RSCVN,RSCVN
15,RSCVN,RSCVN
16,BYDra,BYDra
17,BYDra,BYDra
18,RSCVN,RSCVN
19,BYDra,BYDra
20,BYDra,BYDra
21,RSCVN,RSCVN
22,RSCVN,BYDra
23,RSCVN,RSCVN
24,RSCVN,RSCVN
25,RSCVN,RSCVN
26,BYDra,BYDra
27,BYDra,BYDra
28,RSCVN,BYDra
29,BYDra,RSCVN
30,RSCVN,RSCVN
31,RSCVN,RSCVN
32,BYDra,BYDra
33,RSCVN,BYDra
34,BYDra,BYDra
35,RSCVN,RSCVN
36,RSCVN,RSCVN
37,BYDra,BYDra
38,BYDra,BYDra
39,BYDra,BYDra
40,RSCVN,RSCVN
41,RSCVN,RSCVN
42,BYDra,BYDra
43,RSCVN,BYDra
44,BYDra,BYDra
45,RSCVN,RSCVN
46,BYDra,BYDra
47,RSCVN,RSCVN
48,BYDra,BYDra
49,BYDra,BYDra
50,RSCVN,RSCVN
51,RSCVN,RSCVN
52,RSCVN,BYDra
53,BYDra,BYDra
54,RSCVN,BYDra
55,RSCVN,RSCVN
56,BYDra,BYDra
57,RSCVN,RSCVN
58,BYDra,BYDra
59,BYDra,BYDra
60,RSCVN,BYDra
61,BYDra,BYDra
62,BYDra,BYDra
63,RSCVN,RSCVN
64,RSCVN,BYDra
65,RSCVN,BYDra
66,BYDra,BYDra
67,BYDra,BYDra
68,RSCVN,BYDra
69,BYDra,BYDra
70,RSCVN,BYDra
71,BYDra,BYDra
72,BYDra,RSCVN
73,BYDra,BYDra
74,BYDra,BYDra
75,BYDra,RSCVN
76,BYDra,BYDra
77,RSCVN,BYDra
78,BYDra,BYDra
79,BYDra,BYDra
80,BYDra,BYDra
81,RSCVN,RSCVN
82,RSCVN,RSCVN
83,BYDra,BYDra
84,RSCVN,RSCVN
85,RSCVN,BYDra
86,RSCVN,RSCVN
87,RSCVN,RSCVN
88,BYDra,BYDra
89,BYDra,RSCVN
90,BYDra,BYDra
91,RSCVN,BYDra
92,RSCVN,RSCVN
93,RSCVN,BYDra
94,BYDra,BYDra
95,BYDra,BYDra
96,BYDra,BYDra
97,RSCVN,BYDra
98,RSCVN,RSCVN
99,RSCVN,RSCVN
100,RSCVN,BYDra
101,BYDra,RSCVN
102,RSCVN,BYDra
103,RSCVN,BYDra
104,BYDra,BYDra
105,BYDra,BYDra
106,BYDra,BYDra
107,RSCVN,RSCVN
108,BYDra,RSCVN
109,RSCVN,BYDra
110,BYDra,BYDra
111,RSCVN,RSCVN
112,RSCVN,BYDra
113,BYDra,BYDra
114,BYDra,RSCVN
115,RSCVN,RSCVN
116,BYDra,RSCVN
117,RSCVN,BYDra
118,RSCVN,RSCVN
119,RSCVN,RSCVN
120,BYDra,BYDra
121,RSCVN,RSCVN
122,BYDra,BYDra
123,RSCVN,BYDra
124,BYDra,RSCVN
125,RSCVN,RSCVN
126,BYDra,BYDra
127,RSCVN,RSCVN
128,RSCVN,RSCVN
129,RSCVN,RSCVN
130,RSCVN,RSCVN
131,RSCVN,RSCVN
132,RSCVN,RSCVN
133,RSCVN,RSCVN
134,RSCVN,RSCVN
135,RSCVN,RSCVN
136,BYDra,BYDra
137,RSCVN,BYDra
138,BYDra,BYDra
139,BYDra,RSCVN
140,RSCVN,RSCVN
141,BYDra,BYDra
142,BYDra,BYDra
143,RSCVN,RSCVN
144,RSCVN,RSCVN
145,BYDra,BYDra
146,RSCVN,RSCVN
147,BYDra,BYDra
148,RSCVN,RSCVN
149,BYDra,BYDra
150,BYDra,BYDra
151,RSCVN,BYDra
152,BYDra,BYDra
153,BYDra,RSCVN
154,RSCVN,RSCVN
155,BYDra,RSCVN
156,BYDra,RSCVN
157,BYDra,RSCVN
158,BYDra,BYDra
159,BYDra,BYDra
160,RSCVN,RSCVN
161,RSCVN,RSCVN
162,RSCVN,BYDra
163,RSCVN,BYDra
164,RSCVN,RSCVN
165,BYDra,BYDra
166,RSCVN,RSCVN
167,BYDra,BYDra
168,RSCVN,BYDra
169,RSCVN,RSCVN
170,BYDra,RSCVN
171,BYDra,BYDra
172,BYDra,BYDra
173,RSCVN,RSCVN
174,BYDra,BYDra
175,BYDra,RSCVN
176,RSCVN,RSCVN
177,BYDra,BYDra
178,RSCVN,RSCVN
179,RSCVN,RSCVN
180,BYDra,BYDra
181,RSCVN,BYDra
182,RSCVN,RSCVN
183,BYDra,BYDra
184,RSCVN,BYDra
185,RSCVN,BYDra
186,BYDra,RSCVN
187,RSCVN,RSCVN
188,BYDra,RSCVN
189,RSCVN,RSCVN
190,BYDra,BYDra
191,BYDra,RSCVN
192,BYDra,RSCVN
193,BYDra,BYDra
194,BYDra,BYDra
195,RSCVN,RSCVN
196,RSCVN,RSCVN
197,RSCVN,RSCVN
198,RSCVN,RSCVN
199,BYDra,BYDra
200,BYDra,RSCVN
201,RSCVN,BYDra
202,RSCVN,RSCVN
203,BYDra,BYDra
204,BYDra,BYDra
205,RSCVN,BYDra
206,RSCVN,BYDra
207,BYDra,BYDra
208,BYDra,RSCVN
209,BYDra,BYDra
210,RSCVN,BYDra
211,BYDra,BYDra
212,BYDra,RSCVN
213,BYDra,BYDra
214,BYDra,BYDra
215,BYDra,RSCVN
216,RSCVN,RSCVN
217,RSCVN,BYDra
218,BYDra,BYDra
219,RSCVN,BYDra
220,RSCVN,RSCVN
221,BYDra,BYDra
222,RSCVN,RSCVN
223,RSCVN,RSCVN
224,RSCVN,BYDra
225,RSCVN,BYDra
226,RSCVN,BYDra
227,BYDra,BYDra
228,RSCVN,RSCVN
229,RSCVN,RSCVN
230,BYDra,BYDra
231,BYDra,BYDra
232,RSCVN,BYDra
233,BYDra,BYDra
234,RSCVN,RSCVN
235,BYDra,BYDra
236,RSCVN,RSCVN
237,RSCVN,RSCVN
238,BYDra,BYDra
239,BYDra,RSCVN
240,RSCVN,RSCVN
241,BYDra,BYDra
242,BYDra,BYDra
243,RSCVN,RSCVN
244,RSCVN,RSCVN
245,RSCVN,BYDra
246,RSCVN,RSCVN
247,BYDra,BYDra
248,RSCVN,BYDra
249,BYDra,BYDra
250,BYDra,BYDra
251,RSCVN,BYDra
252,RSCVN,BYDra
253,RSCVN,RSCVN
254,BYDra,BYDra
255,BYDra,BYDra
256,RSCVN,RSCVN
257,RSCVN,RSCVN
258,RSCVN,BYDra
259,BYDra,BYDra
260,RSCVN,RSCVN
261,BYDra,BYDra
262,RSCVN,RSCVN
263,RSCVN,RSCVN
264,BYDra,BYDra
265,RSCVN,RSCVN
266,BYDra,RSCVN
267,BYDra,BYDra
268,RSCVN,RSCVN
269,RSCVN,RSCVN
270,BYDra,BYDra
271,BYDra,BYDra
272,BYDra,BYDra
273,BYDra,BYDra
274,RSCVN,RSCVN
275,BYDra,RSCVN
276,RSCVN,RSCVN
277,BYDra,BYDra
278,BYDra,BYDra
279,BYDra,BYDra
280,RSCVN,RSCVN
281,BYDra,RSCVN
282,BYDra,BYDra
283,BYDra,BYDra
284,RSCVN,RSCVN
285,RSCVN,RSCVN
286,BYDra,BYDra
287,RSCVN,RSCVN
288,BYDra,RSCVN
289,BYDra,BYDra
290,BYDra,BYDra
291,RSCVN,RSCVN
292,BYDra,BYDra
293,BYDra,BYDra
294,BYDra,BYDra
295,BYDra,RSCVN
296,BYDra,RSCVN
297,RSCVN,RSCVN
298,BYDra,RSCVN
299,RSCVN,RSCVN
300,BYDra,BYDra
301,RSCVN,RSCVN
302,BYDra,BYDra
303,RSCVN,BYDra
304,BYDra,BYDra
305,RSCVN,RSCVN
306,BYDra,BYDra
307,BYDra,RSCVN
308,BYDra,BYDra
309,RSCVN,BYDra
310,BYDra,BYDra
311,RSCVN,BYDra
312,BYDra,BYDra
313,BYDra,RSCVN
314,BYDra,BYDra
315,BYDra,BYDra
316,BYDra,BYDra
317,BYDra,BYDra
318,BYDra,RSCVN
319,RSCVN,RSCVN
320,RSCVN,RSCVN
321,RSCVN,BYDra
322,RSCVN,RSCVN
323,RSCVN,BYDra
324,RSCVN,BYDra
325,BYDra,BYDra
326,BYDra,BYDra
327,BYDra,RSCVN
328,RSCVN,BYDra
329,BYDra,BYDra
330,RSCVN,RSCVN
331,BYDra,BYDra
332,BYDra,BYDra
333,RSCVN,RSCVN
334,RSCVN,RSCVN
335,BYDra,BYDra
336,BYDra,BYDra
337,BYDra,BYDra
338,BYDra,BYDra
339,BYDra,BYDra
340,BYDra,BYDra
341,RSCVN,RSCVN
342,BYDra,RSCVN
343,RSCVN,RSCVN
344,RSCVN,RSCVN
345,RSCVN,RSCVN
346,BYDra,BYDra
347,RSCVN,RSCVN
