,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5
CEP,3.334801590198654,0.6286176413308571,1.8886363378299347,3.598089024602719,0.24591589999999997,0.1534915214494756
DSCT,0.08406616824136526,0.031549614706832,2.323175223779269,4.140711534816006,0.07537652499999845,0.108222336932221
RR,0.5828228716132076,0.2394003303375652,2.2056627377658256,4.144414651435112,0.3719616124999998,0.0747202934366406
RRc,0.3339426243121591,0.1499563705239728,1.541492288840514,3.107392497584061,0.2045903500000001,0.083004042278148
