,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8
BYDra,2.801101326942444,2.7616418286102977,0.0812636586722365,0.43110053495482226,3.1042770081315956,0.6016015130679194,0.1025374951599099,0.0767725571030347,0.6402813121032467
RSCVN,2.423921793699264,3.3092286374379443,0.08276139322077813,0.6215415221613512,3.21807372779615,0.617626950587082,0.08974457620993717,0.07100754405208883,0.6086109576662804
