,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24
BYDra,10.426916063856181,0.3204812493512269,117.55479621163414,0.0031981637484678168,1477490.0102636346,0.05854926192674758,0.3371164930635364,0.043385805290296356,0.03789145849698188,0.010448945178674037,0.006351894360438628,1.8554304483511628,0.04674934615351229,0.12712699055026488,25.071115771008536,0.07638969667674633,0.01892303704154172,0.026584448532376837,0.07694984128241399,2.6699384665165633,68.16581292554811,1.920020242502271e-05,0.06576146717880312,0.34392646517864683,3.942949877141759e-05
RSCVN,215.38415807588,0.009020226947079012,95.96641608428152,0.002952037665084087,97375.8565432248,0.05630168971194417,0.3795324480838494,0.02771572101132222,0.00918579362514374,0.003986322703386624,0.0035619806296672495,1.8549024111132046,0.04661435242768119,0.0917276674131983,16.871612557034915,0.039309464209772445,0.010492540537676186,0.037962397335298624,0.06701681466940494,1.177503069417035,22.14527487700319,1.006657320931971e-05,0.06026253112684924,0.32559202983180124,5.402326213960518e-05
