,Feature_0,Feature_1,Feature_2,Feature_3
CEP,4.067889298887767,0.007124142370163801,0.492662289519294,0.0500855175266741
DSCT,0.04008238528120864,0.0020203940594264998,0.6457256843807007,0.49210656706601474
RR,0.11960081021493729,0.0102932874958774,0.25198694097446417,0.05262667751134125
RRc,0.0743474477895254,0.004875814962455225,0.40071393355426466,0.1716614519354125
