,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
CEP,0.0283982036635279,3.334801590198654,0.6286176413308571,0.19599280187204876,3.4604844258470115,0.38679237664540095,0.026482644085084002,-0.04396984999999805,0.1534915214494756,0.20846281616891016
DSCT,0.00158693734556435,0.08406616824136526,0.031549614706832,0.046402723861745654,3.3254913479273696,0.3483331275466106,0.3621810068685048,-0.0120325000000072,0.108222336932221,1.623967771539607e-11
RR,0.06597831472754476,0.5828228716132076,0.2394003303375652,0.2407618197978174,3.5264731046892113,0.38570756618734037,0.0238354083656154,-0.2425793999999932,0.0747202934366406,0.01636360902956615
RRc,0.0257635898888111,0.3339426243121591,0.1499563705239728,0.171102966667361,2.506633010700824,0.4318181818181818,0.059103447149739,0.0072307000000009,0.083004042278148,0.0013242499143662
