,Feature_0,Feature_1,Feature_2
CEP,3.296322016473539,3.5813813360430027,0.2462892500000002
DSCT,0.08675898859224579,4.08486024093974,0.07420624999999956
RR,0.58038310209606,4.12573954874627,0.37512205000000076
RRc,0.3331988806963707,3.080450735645263,0.2037057749999995
