,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
BYDra,9.728633508276106,0.32484079117353,0.5978244739629484,0.07671131701697112,0.065955369827972
RSCVN,217.6789365541543,0.38124044801205587,0.42755639402936785,0.06687986325768913,0.06143510407801784
