,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
BYDra,2.053853750228882,1.306370131056839,0.5504939630159091,0.1838415011268015,0.0414877536540984
RSCVN,2.213425636291504,1.0418165972121392,0.5458772015417619,0.1696720864148541,0.02099388184137915
