oid,MHPS_ratio_g,MHPS_low_g,MHPS_high_g,MHPS_non_zero_g,MHPS_PN_flag_g,MHPS_ratio_r,MHPS_low_r,MHPS_high_r,MHPS_non_zero_r,MHPS_PN_flag_r,Multiband_period,PPE,Period_band_g,delta_period_g,Period_band_r,delta_period_r,GP_DRW_sigma_g,GP_DRW_tau_g,GP_DRW_sigma_r,GP_DRW_tau_r,Psi_CS_g,Psi_eta_g,Psi_CS_r,Psi_eta_r,Harmonics_mag_1_g,Harmonics_mag_2_g,Harmonics_mag_3_g,Harmonics_mag_4_g,Harmonics_mag_5_g,Harmonics_mag_6_g,Harmonics_mag_7_g,Harmonics_phase_2_g,Harmonics_phase_3_g,Harmonics_phase_4_g,Harmonics_phase_5_g,Harmonics_phase_6_g,Harmonics_phase_7_g,Harmonics_mse_g,Harmonics_chi_g,Harmonics_mag_1_r,Harmonics_mag_2_r,Harmonics_mag_3_r,Harmonics_mag_4_r,Harmonics_mag_5_r,Harmonics_mag_6_r,Harmonics_mag_7_r,Harmonics_phase_2_r,Harmonics_phase_3_r,Harmonics_phase_4_r,Harmonics_phase_5_r,Harmonics_phase_6_r,Harmonics_phase_7_r,Harmonics_mse_r,Harmonics_chi_r,iqr_g,iqr_r,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_g,AndersonDarling_g,Autocor_length_g,Beyond1Std_g,Con_g,Eta_e_g,Gskew_g,MaxSlope_g,Mean_g,Meanvariance_g,MedianAbsDev_g,MedianBRP_g,PairSlopeTrend_g,PercentAmplitude_g,Q31_g,Rcs_g,Skew_g,SmallKurtosis_g,Std_g,StetsonK_g,Pvar_g,ExcessVar_g,SF_ML_amplitude_g,SF_ML_gamma_g,IAR_phi_g,LinearTrend_g,Amplitude_r,AndersonDarling_r,Autocor_length_r,Beyond1Std_r,Con_r,Eta_e_r,Gskew_r,MaxSlope_r,Mean_r,Meanvariance_r,MedianAbsDev_r,MedianBRP_r,PairSlopeTrend_r,PercentAmplitude_r,Q31_r,Rcs_r,Skew_r,SmallKurtosis_r,Std_r,StetsonK_r,Pvar_r,ExcessVar_r,SF_ML_amplitude_r,SF_ML_gamma_r,IAR_phi_r,LinearTrend_r
900,1.5942375659942627,0.09669839590787888,0.06065494567155838,516.0,0.0,5.864861011505127,0.11468606442213058,0.019554778933525085,909.0,0.0,3.8778541368233648,0.07399626908746226,3.8778541368233648,0.0,3.8778541368233648,0.0,0.062100218816892115,0.47091983156716644,0.02571892878715194,0.6845607952649502,0.2253096188380012,0.0671752400538605,0.378278553917997,0.028184574032143264,0.32683698097416763,0.12319103801551276,0.04937911766472212,0.021080661087135168,0.00920179401046561,0.005388410425971071,0.002199550307108517,2.0580741103702085,3.9381893995782686,5.817114505078457,1.5890192413210311,3.9556340950344584,2.6122827674111893,0.0017974891879071581,7.330793672313922e-05,0.21367130215648955,0.0785700994995835,0.03261961083238408,0.012081190681916501,0.005402035056115058,0.004396990047477807,0.006265370031322503,1.8196033374287799,3.524944325678028,5.519854209364393,2.230304487503794,4.3273297425962305,6.25542211957341,0.0005188978910490987,2.092356399838707e-05,0.47513580000000033,0.4105773000000017,0.0067634853,0.047244295,0.09694502,0.008958216,0.0080084605,0.002074295,0.3871197499999992,1.0,1.0,0.418426103646833,0.0,0.0032816627419526424,-0.2581825500000008,18.3054399829511,14.809764919577736,0.017240517111992495,0.19306369999999973,0.19001919385796545,-0.1,0.03693155635370221,0.47513580000000033,0.04403135845835686,-0.4195849304318018,-1.2289561006467693,0.2553280055205661,0.8791759396078478,1.0,0.0002962640014738106,0.3590105901982389,0.0030092340511985545,0.1266890192253436,-1.7785363908314212e-05,0.2624788500000008,1.0,70.0,0.512568306010929,0.0,0.007213072096832078,-0.21693999999999747,203.35822083235163,13.244859424590166,0.014412141597508771,0.13665679999999902,0.20655737704918034,-0.1,0.029787945244895298,0.4105773000000017,0.28611464016851296,-0.35074344515718825,-1.494611323446625,0.190886789466292,0.9125134539540741,1.0,0.00020698728877924672,0.2807948747951564,0.05372327293176007,0.33810823255986483,-0.00015113574354901852
1062,2.2799103260040283,0.08837340772151947,0.038761790841817856,375.0,0.0,5.455379009246826,0.044585131108760834,0.00817269179970026,644.0,0.0,2.1077355991105087,0.04258934144204263,2.1077355991105087,0.0,2.1077355991105087,0.0,0.016876718488952128,2.461442249689046,0.006564895184097133,1.3563565143097904,0.13264650723730667,1.6696336290666816,0.32431048847401456,0.5171195870909535,0.09033265668062167,0.035424015017994,0.010754758948554639,0.02009336630663885,0.010552465619130069,0.022956108953383614,0.023201608327961157,5.347680871180482,6.062984387638702,2.9206837219941573,2.1015190664709014,1.8341607724114404,3.6891832773242257,0.0225138694794982,0.0008926293126713548,0.08479606588516321,0.02019032087959834,0.0029936551570583134,0.004484148870945764,0.008497500915951616,0.005038428818220155,0.001382072335397172,6.111517108544366,0.31258801519871593,0.8049616642577568,0.6061501526846218,0.5195736534391173,1.7755248477279117,0.0018801080529863745,7.592866255945029e-05,0.20459172500000022,0.13597444999999908,0.043187674,0.08358794,0.061637383,0.057620768,0.051870294,0.046095412,0.3453035250000003,0.9951043727264878,1.0,0.2916666666666667,0.0,1.528716300479109,-0.018001549999993927,395.27783412034165,20.122498672135418,0.008204040864820026,0.10413455000000127,0.5416666666666666,0.03333333333333333,0.032361520006768334,0.20459172500000022,0.07436478219269453,-0.15317853532522202,0.6936772036595209,0.16508580140848567,0.7521134781690131,1.0,3.65587018925354e-05,0.19021842607320671,0.057360841436905396,0.7741468793715731,5.296530029055224e-05,0.1501398000000016,1.0,5.0,0.3895705521472393,0.0,0.18045082509648364,0.006827399999998818,232.92560740984854,17.64189929294478,0.004786910227038856,0.06794450000000296,0.3374233128834356,0.03333333333333333,0.013001049239480466,0.13597444999999908,0.24422126921831422,-0.0749405043237703,-0.8151667381990477,0.08445018814978693,0.8406262353013373,1.0,2.0983773510857216e-05,0.1319683102254913,0.06681597317116492,0.5108403836766712,1.3112071489746854e-05
2027,1.4254764318466187,0.12838444113731384,0.09006423503160477,364.0,0.0,3.5099642276763916,0.09774421900510788,0.027847640216350555,649.0,0.0,4.3765095822465785,0.09491327047404696,4.3765095822465785,0.0,4.3765095822465785,0.0,0.06253766548555567,0.44498102675552714,0.027578510773582737,0.6151035846813209,0.21266914417592084,0.16805308273445524,0.3286265335061822,0.030916324829000415,0.31036193614460933,0.1407847912817262,0.05310665780588021,0.026844313420448702,0.01424992984122605,0.007708856536503779,0.010767280906133747,1.9950655950747116,3.837644500993717,5.412371338247775,0.500083395240166,5.214295905550383,3.3268792094636375,0.005237720989346084,0.0002125692873920281,0.20990598555603363,0.09036971934161879,0.03941751709057273,0.01479559955052454,0.004450432422638323,0.003351661312602596,0.0007053928622316322,1.8003412464337822,3.5167224641399333,5.217683227808479,0.5369860323633819,1.2869896459865924,4.833314256713875,0.0005065094053902186,2.051878128245082e-05,0.43793484999999777,0.34601597500000203,0.008758936,0.014835762,0.07189103,0.015757404,0.01778489,0.013944437,0.43196490000000054,1.0,1.0,0.44266666666666665,0.0,0.13599271243719885,-0.1373376499999992,205.11554110344738,18.789562445066665,0.01376379475848116,0.2032527999999978,0.256,0.03333333333333333,0.03505996244817667,0.43793484999999777,0.07983091940050248,-0.27728053536203273,-1.0510490623618898,0.258615681095563,0.8720269110393472,1.0,0.00018054063761089852,0.36089703661006284,0.005296486592200117,0.11100703821401471,4.229476887586787e-05,0.2646565499999989,1.0,1.0,0.44495412844036697,0.0,0.006465326932930051,0.08204135000000079,93.88809333740282,15.94450422905199,0.011009927782163453,0.16956849999999957,0.15902140672782875,0.16666666666666666,0.021537498907669032,0.34601597500000203,0.22051352008614034,0.21212699242372798,-1.3965572141740183,0.17554784008426216,0.895652351508459,1.0,0.00012016433274676482,0.2536316466914046,0.017670122702093918,0.2226440562763442,-2.2898056436912425e-05
2113,3.7374162673950195,0.24977445602416992,0.06683078408241272,198.0,0.0,3.124058723449707,0.03595754876732826,0.011509882286190987,808.0,0.0,0.2163942072053945,0.0321175353610329,0.2163942072053945,0.0,0.2163942072053945,0.0,0.03882474352775011,0.10342617348220044,0.025952521366400062,0.034338356828157765,0.16050010647087853,1.4481409412199875,0.20884222206090602,0.7420263094537369,0.16970313378292945,0.04642319070214739,0.005207402709197837,0.04615699288697442,0.026619733304784638,0.02999654013628316,0.06383357988482645,0.7733625469277488,4.996217462550989,2.0594249529887017,1.9263337107209688,1.4531858052651798,1.2092632072824714,0.04675956363152481,0.0018755749788912435,0.17468073803177817,0.05377276786657635,0.009392480641668059,0.009454004916266946,0.009854791817191214,0.006677339909777502,0.022873437259511593,5.9432767177539265,5.995040248077067,4.464327133045031,1.7954418501815406,6.069605941861307,0.8065806595010697,0.017293214543742635,0.0006758622212070992,0.34937670000000054,0.17593962499999805,0.0063901744,0.017012058,0.019608868,0.017723285,0.022385575,0.055527657,0.5200690999999988,0.374399878043291,1.0,0.3105022831050228,0.0,0.4626369088107337,-0.016014099999999587,10.380684454540724,20.889854842009132,0.012125511854194585,0.17174909999999954,0.4474885844748858,-0.03333333333333333,0.04336298509967313,0.34937670000000054,0.12845671416942497,0.11512877923575646,0.4940710985338157,0.2533001825191859,0.7800614133228196,1.0,8.714878727570182e-05,0.3097353353223483,0.04823096550857032,0.00018580233926963506,-2.5944434403452934e-05,0.36907289999999904,1.0,1.0,0.18995098039215685,0.002457002457002457,0.4989848087256383,0.33623690000000295,1034.542026856245,19.583755015686275,0.009241419732600481,0.08599474999999934,0.7904411764705882,0.1,0.04359764916284608,0.17593962499999805,0.11092758281497589,0.9715595297903334,3.502222307774329,0.18098170004037678,0.6928522652446616,1.0,6.549560961984932e-05,0.26039956111220613,0.058524226942143626,7.563396452199721e-13,8.167546719772873e-06
4875,1.0933504104614258,0.0004895403399132192,0.0004477433394640684,498.0,0.0,1.8595519065856934,0.0006985258660279214,0.00037564203375950456,765.0,0.0,0.590288404790841,0.055209268718264926,0.590288404790841,0.0,0.590288404790841,0.0,2.1306547055593024e-11,963342.1891060362,0.0003221464135935302,0.1557321511092147,0.18033748129247398,0.8663667723109377,0.17263711291700778,0.7268086710837011,0.02054827476159376,0.0102986738895945,0.008332810444393645,0.006584532561986771,0.00620340576228997,0.003382476192993271,0.0032531890899365206,0.1379959455270916,0.12402995454230581,6.143912308648319,6.218981559569941,0.6495867537978954,0.763273443735133,0.0002577877757806726,1.0514582782656368e-05,0.020980560874804786,0.009334939203345233,0.008469574384971456,0.006112705511454457,0.005361756744452915,0.0038229195272513334,0.003262514233875554,5.927013495250242,5.990789276278433,5.7750132182743865,5.89454786221987,5.978810403285274,5.960207307088401,0.000195861123973543,7.917199097142782e-06,0.024079350000000943,0.020816799999998636,0.020059476,0.09161582,0.064917505,0.021846473,0.030093031,0.026883535,0.05151414999999915,1.0,1.0,0.23274161735700197,0.0,0.13091689753973945,0.0397158000000033,8.489752983806653,16.477349034516763,0.0014773430543992712,0.012512199999999751,0.6745562130177515,0.03333333333333333,0.005764567243309007,0.024079350000000943,0.07333663587809686,0.9906757400974188,2.1262943580597886,0.024342697151055876,0.7278623040790235,1.0,1.1941259972730297e-06,0.024703882923905164,-0.005074074368248333,0.0019231504605087143,-4.492334895920138e-06,0.04891780000000079,1.0,1.0,0.2191958495460441,0.007802340702210663,0.49299501567275206,0.043908750000003494,49.57307921473047,15.853909562516213,0.001407754094707188,0.010588699999999562,0.6134889753566797,-0.16666666666666666,0.005698098302088248,0.020816799999998636,0.15708075190020795,1.3757618052725373,2.6218814028160318,0.022318406103749643,0.7094364523535966,1.0,1.3211711641457036e-06,0.024580574370428567,0.016723690823575756,0.006083665226447133,8.190608031421083e-06
5373,1.5658574104309082,0.017776982858777046,0.011352874338626862,476.0,0.0,1.4160760641098022,0.007762788329273462,0.0054819006472826,926.0,0.0,0.7762768194242439,0.023512107596021736,0.7762768194242439,0.0,0.7762768194242439,0.0,0.010446201713067496,0.014532469275813755,0.00979704980457735,0.026617720960581397,0.24628742597227235,0.5145595708789309,0.1544183615579472,0.9257407277112149,0.07505159280708376,0.05408545744454003,0.0450544323346981,0.03208693020429897,0.022532501620799356,0.013042726749410987,0.007120491083883958,6.261571421677251,6.198030865252054,6.244834477803791,0.015426466062360866,6.150240058219056,6.023890356895832,0.00392497876970956,0.00016004185100917397,0.058590783676220545,0.03995281579675447,0.02902436006945916,0.02625111117146496,0.013464355634053364,0.010080432173745286,0.004040809471932456,0.1541303612168985,0.24240476528843935,6.0159818744702545,5.981721985378454,6.244081057889456,6.185850342201482,0.0036901002242377763,0.00014849341665025092,0.04046344999999718,0.027618400000001486,0.16797213,0.123792075,0.7280658,0.1098602,0.059648234,0.0049378886,0.21082780000000056,1.0,1.0,0.1111111111111111,0.0,0.06060328021298157,0.3431740999999988,53.66888168719343,16.904234561728394,0.006203587717662809,0.016683550000001546,0.8251028806584362,-0.1,0.03771137456546758,0.04046344999999718,0.05467221419854595,2.6620883233562282,7.363375462286696,0.10486690190362943,0.6445039058446331,1.0,3.727321612077648e-05,0.1508411715607121,0.014116382781344026,4.2300630066830894e-13,-1.1290195641839818e-06,0.17147635000000072,1.0,1.0,0.11517761033369214,0.0,0.059035025677064895,0.3056993499999976,292.61217592960736,16.145822854359526,0.005105988680345204,0.012182200000001586,0.844994617868676,0.03333333333333333,0.03707375353963366,0.027618400000001486,0.07331427326440791,3.5520119743968768,15.549701845844943,0.08244038872921863,0.6023365259529471,1.0,2.5279869571526967e-05,0.10776710866239032,-0.012267183892078563,4.2300630066830894e-13,1.0644420476723332e-05
6312,10.07324504852295,0.15940341353416443,0.015824435278773308,485.0,0.0,10.951447486877441,0.12321371585130692,0.011250906623899937,927.0,0.0,1.9768391012491031,0.02043644038390402,3.953659102448223,1.9768200011991197,1.9768391012491031,0.0,0.032721436981689785,0.48472275911949364,0.03905489437867108,0.021679373934192035,0.2895231634792929,0.032772137129767905,0.21277409539770473,0.23975834233796894,0.12010796212349123,0.09793501616427376,0.07209304401222556,0.04757641647631623,0.030595060845279198,0.017982338737025653,0.01126885009498324,6.268250946143335,6.283136899330632,6.201086853506614,6.072022582312551,5.732635585517908,5.255182909047326,0.016188574739252285,0.0006621234850954532,0.13619951162039717,0.10997951752527209,0.07320998757769635,0.05955383829953749,0.03235342201095951,0.017906873782661828,0.014498781474979159,6.223133955062612,6.279930544830034,6.001066925137682,0.34463095073833383,5.349237088723635,5.963134393900521,0.010822587589405281,0.00043628998184328557,0.041753525000000735,0.07935207499999919,0.19250394,0.0997484,0.4364734,0.8962251,0.067057565,0.05123692,0.39812709999999996,1.0,1.0,0.09349593495934959,0.004081632653061225,0.003951473806723906,0.7527560999999992,29.83013717954363,13.034203593292684,0.013837694431608835,0.02103095000000188,0.8678861788617886,-0.1,0.06485704577941438,0.041753525000000735,0.08545296043283179,3.072545158858406,8.844594051286311,0.18036332648336204,0.5780146480396695,1.0,0.0001906721778700701,0.26986377502344805,0.043973971407408725,0.12629828016211356,-7.988193189113495e-06,0.40153455000000005,1.0,1.0,0.12124463519313304,0.0,0.09503598586409309,0.5053320499999998,432.2591977812262,12.512630155150214,0.012294742625168265,0.029019350000000443,0.8111587982832618,0.16666666666666666,0.06260394248255917,0.07935207499999919,0.09502736507213969,3.0650786499680907,11.987136746011132,0.15383956732149115,0.5014554299188293,1.0,0.00015036720382720692,0.2830106643720226,0.10066489564342586,4.2300630066830894e-13,1.9816013161616797e-05
6336,0.6958180665969849,0.013706592842936516,0.019698530435562134,433.0,0.0,1.7285082340240479,0.016040310263633728,0.009279857389628887,925.0,0.0,1.6453203071904976,0.024160499330545093,1.6453203071904976,0.0,0.822561497165222,0.8227588100252756,0.011067600542535421,0.21879372176955028,0.011688602522451564,0.37212667683791345,0.17189172197930583,0.6019646149488451,0.1566982578203877,0.5222814948858439,0.06215538273810183,0.06201335091469917,0.04138230398285212,0.04088606151514196,0.027086953862333653,0.022216416174405233,0.012570547341288133,6.282549298430838,0.12492310686501185,6.222792638226055,6.093806901645726,5.918501090393779,5.89680925978524,0.004188397663013625,0.00017025246291673676,0.0722726277118249,0.07536032550033907,0.040735260977026316,0.042637782197635886,0.02607923843058577,0.02696778614126008,0.010407168071684375,0.12689134266225288,0.07194712405417292,0.18758020675593912,0.08292840959655301,0.3373419939796616,0.29827616497476583,0.002158544110119986,8.656894639988602e-05,0.06024557499999972,0.04064560000000128,0.29983515,0.09859993,0.52793694,0.034962427,0.0174022,0.055534597,0.23983480000000057,1.0,1.0,0.13574660633484162,0.0,0.10589459293658995,0.3179712499999994,82.42501054157906,18.361471117873304,0.006150343175741746,0.029882399999999976,0.8190045248868778,-0.1,0.031924893531488044,0.06024557499999972,0.05432494461150607,2.2979631692720757,5.582939799970825,0.11292934858639124,0.6390546279226128,1.0,3.461663534720187e-05,0.1607354111385099,0.03180395700076768,0.012344013395845038,1.0457701566289638e-05,0.22431085000000017,1.0,1.0,0.08288482238966631,0.004314994606256742,0.18204133591283844,0.36170285000000035,425.86176750253185,17.53886786297094,0.005234176462003751,0.02043729999999755,0.8493003229278795,0.23333333333333334,0.027137203493038328,0.04064560000000128,0.11345662782459037,3.21311291148143,10.857308743399173,0.09180152933855652,0.5684777751957465,1.0,2.578675880610007e-05,0.15044391195794243,0.05080541131112503,0.04006048032060038,1.496209728422011e-05
6770,1.4224798679351807,0.01234279666095972,0.008676957339048386,418.0,0.0,1.6894915103912354,0.010493974201381207,0.006211320869624615,925.0,0.0,0.7118843395693378,0.03260885103977984,0.7118843395693378,0.0,2.470779400324215,1.758895060754877,0.008868975683758355,0.07993935241374549,0.009859830537896883,0.3003316207499577,0.20741257959304793,0.45068330220869357,0.18162306425049712,0.28980607686900006,0.08783020074111253,0.06305851442230748,0.04711297593587961,0.032727494520644544,0.017781947700985713,0.010539643731976845,0.005994871483020157,0.03641046997995545,0.04009567950597415,0.11855590466013233,0.19896749588032847,0.44716800002090373,0.5973002762881165,0.0023452122102283024,9.625359834155255e-05,0.08764592674314826,0.06698469857245008,0.048628414201641275,0.027091963582657346,0.010394441030634092,0.0060136108186368085,0.004385705720547656,6.279288664761545,6.219713396591267,6.106464316907813,5.981715509669055,5.097742895022289,4.898127086569959,0.0011267138433868225,4.541787313155563e-05,0.03996847499999845,0.029667899999999747,0.069163844,0.20405516,0.36785764,0.10984733,0.022046557,0.009186792,0.20278072499999933,1.0,1.0,0.12206572769953052,0.0,0.02800959300956117,0.33191869999999923,19.106225107490502,14.792942053521127,0.006534253678118145,0.018501750000000428,0.795774647887324,0.03333333333333333,0.028841443693564187,0.03996847499999845,0.06194650075951302,2.380345029847032,5.163014724258134,0.09666083602340901,0.6608162905469678,1.0,4.1647356554585474e-05,0.1336954417288171,-0.0034322217542395576,5.690694341664861e-06,1.3630061961880715e-05,0.16192724999999975,1.0,1.0,0.09903121636167922,0.0,0.0399300067291548,0.3064583999999968,192.8854661825083,14.306837220452099,0.005600800833629803,0.013648100000001051,0.8310010764262648,-0.1,0.028653237001016997,0.029667899999999747,0.11904002830925628,2.7591428161576865,7.368291750018495,0.080129745830914,0.6212119970861556,1.0,3.073770119656461e-05,0.1291955380820619,0.044453868156249195,0.008378200839640408,7.332856427437342e-06
7214,3.1276051998138428,0.014518259093165398,0.0046419729478657246,475.0,0.0,1.786835789680481,0.002046548528596759,0.0011453478364273906,933.0,0.0,0.12427389189440957,0.07304915327850592,0.12427389189440957,0.0,0.12427389189440957,0.0,0.0030458699191668608,0.014970379128341066,0.0013123488688787676,0.023028337267035875,0.2156747691951918,0.7188044148047804,0.2264844249626032,0.5262446235373227,0.06975192118557495,0.006732807788258235,0.001273527311342782,0.003459054810392475,0.002787670557943906,0.0008491477534737762,0.004629189642920832,2.546953684105867,3.5633148765448475,0.7369159116856885,2.341163423446673,2.3977082630409274,3.348077806256846,0.001433571117759481,5.8273027900855104e-05,0.04753140098574311,0.010931627408000058,0.001922452044389483,0.0010182071708376484,0.0016312604109948918,0.0022590029272054105,0.0023280133284491944,2.250209860462844,5.071844393645046,4.805413513474621,4.2855885469079595,1.595002980793982,2.9555670375933722,0.0004016613639916724,1.6155327455468018e-05,0.097165099999998,0.0646495250000001,0.0011491812,0.0011491812,0.010709961,0.0048945853,0.00419432,0.0135656325,0.10759734999999893,0.9999999324192689,1.0,0.3381742738589212,0.0,0.22078422356583843,-0.0041027000000042335,55.91482019528494,17.971371940248964,0.0034734253325414913,0.0491028,0.58298755186722,0.1,0.02140081655704264,0.097165099999998,0.07260434085051869,0.3292224907723642,1.9688791229432594,0.06242221855778608,0.8274016383461247,1.0,9.61575871160615e-06,0.09006359857656468,0.05430198796644452,4.2300630066830894e-13,8.42532286236886e-06,0.07104205000000086,1.0,3.0,0.3717948717948718,0.0,0.415757628903075,-0.029914899999994304,187.59515965092737,16.8183341392094,0.002404743146204007,0.029863350000001176,0.3173076923076923,-0.1,0.00653614686977885,0.0646495250000001,0.1589411579974069,-0.30961202579877933,-0.8338220029580921,0.040443773751832675,0.8519372246945259,1.0,4.7978298204384185e-06,0.05238960836937654,-0.016876619438651316,4.2300630066830894e-13,1.9038213424225216e-06
