,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
CEP,3.334801590198654,0.19599280187204876,1.8886363378299347,1.0,1.0,15.031143870328124,0.1534915214494756
DSCT,0.08406616824136526,0.046402723861745654,2.323175223779269,0.9999999999997314,1.0,16.54492400069699,0.108222336932221
RR,0.5828228716132076,0.2407618197978174,2.2056627377658256,1.0,1.0,17.118190636601447,0.0747202934366406
RRc,0.3339426243121591,0.171102966667361,1.541492288840514,1.0,1.0,17.196278221705423,0.083004042278148
