Feature Name,Relative Importance
Psi_eta_r,0.01951219512195127
Harmonics_phase_6_r,0.01734417344173449
IAR_phi_r,0.015718157181571858
Psi_CS_r,0.015176151761517664
Autocor_length_r,0.013821138211382178
Q31_r,0.012466124661246669
Harmonics_mag_6_r,0.01084010840108406
Harmonics_mag_1_r,0.008672086720867245
AndersonDarling_r,0.00785907859078594
Mean_r,0.007588075880758849
Harmonics_phase_4_r,0.007317073170731758
Amplitude_r,0.006504065040650453
Harmonics_mag_7_r,0.005962059620596261
Period_band_r,0.005962059620596238
MedianBRP_r,0.005420054200542035
Eta_e_r,0.005420054200542035
ExcessVar_r,0.004607046070460763
GP_DRW_sigma_r,0.004607046070460741
Harmonics_mag_2_r,0.0037940379403794354
MHPS_low_r,0.0035230352303523447
PercentAmplitude_r,0.0032520325203252544
Rcs_r,0.0032520325203252544
Beyond1Std_r,0.0029810298102981524
SF_ML_gamma_r,0.001626016260162655
Harmonics_phase_3_r,0.0013550135501355308
SmallKurtosis_r,0.0013550135501355198
GP_DRW_tau_r,0.0013550135501355198
Gskew_r,0.0010840108401084403
Skew_r,0.0008130081300813385
StetsonK_r,0.00027100271002716836
Harmonics_phase_7_r,4.4408920985006264e-17
Harmonics_phase_5_r,-0.0005420054200541369
Harmonics_phase_2_r,-0.0013550135501354532
Pvar_r,-0.0018970189701896455
LinearTrend_r,-0.0029810298102980527
MHPS_ratio_r,-0.0029810298102980527
