Feature Name,Relative Importance
Period_band_r,0.08995929443690635
IAR_phi_r,0.029850746268656685
Autocor_length_r,0.02971506105834461
Harmonics_phase_2_r,0.018046132971506052
Gskew_r,0.012483039348710933
StetsonK_r,0.011804613297150563
Amplitude_r,0.011261872455902261
Harmonics_mag_1_r,0.010176390773405652
AndersonDarling_r,0.009226594301221126
MHPS_low_r,0.009226594301221126
Skew_r,0.009090909090909044
Eta_e_r,0.008412483039348672
Mean_r,0.008141112618724522
GP_DRW_tau_r,0.008141112618724522
Harmonics_mag_7_r,0.007055630936227919
MHPS_high_r,0.007055630936227919
PercentAmplitude_r,0.006919945725915849
SmallKurtosis_r,0.006919945725915843
MedianBRP_r,0.004748982360922638
Rcs_r,0.003663500678426035
Psi_eta_r,0.0036635006784260125
Harmonics_phase_6_r,0.0028493894165535828
Harmonics_phase_5_r,0.0024423337856173456
Harmonics_phase_3_r,0.0008141112618724411
LinearTrend_r,0.0004070556309362261
Harmonics_phase_7_r,0.00013568521031206426
Harmonics_phase_4_r,-0.00013568521031208646
MHPS_ratio_r,-0.0014925373134328512
SF_ML_gamma_r,-0.0023066485753052922
Beyond1Std_r,-0.002442333785617401
Psi_CS_r,-0.004477611940298542
