,CEP_conf,DSCT_conf,RR_conf,RRc_conf
350,0.3333333333333333,1.0,0.3333333333333333,0.5
351,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
352,0.3333333333333333,1.0,0.3333333333333333,1.0
353,1.0,1.0,0.5,inf
354,1.0,inf,0.5,inf
355,1.0,1.0,0.5,1.0
356,1.0,inf,0.5,inf
357,0.5,1.0,0.5,1.0
358,0.5,0.5,0.3333333333333333,0.3333333333333333
359,0.5,1.0,0.3333333333333333,0.5
360,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
361,0.3333333333333333,0.5,0.25,0.3333333333333333
362,1.0,inf,inf,inf
363,1.0,inf,0.5,inf
364,0.3333333333333333,0.5,0.3333333333333333,1.0
365,0.3333333333333333,0.5,0.3333333333333333,0.5
366,0.5,1.0,1.0,inf
367,0.5,0.5,0.3333333333333333,0.3333333333333333
368,1.0,1.0,1.0,inf
369,1.0,1.0,0.5,1.0
370,0.5,inf,0.5,inf
371,1.0,1.0,0.5,inf
372,1.0,inf,0.3333333333333333,1.0
373,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
374,1.0,inf,inf,inf
375,0.5,inf,1.0,1.0
376,0.5,1.0,0.5,0.3333333333333333
377,1.0,1.0,0.5,1.0
378,0.3333333333333333,1.0,0.3333333333333333,0.5
379,1.0,inf,1.0,1.0
380,0.5,inf,0.5,inf
381,0.5,1.0,0.5,1.0
382,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
383,0.3333333333333333,1.0,0.5,0.5
384,0.5,1.0,0.3333333333333333,0.5
385,0.3333333333333333,1.0,0.3333333333333333,0.5
386,0.5,0.5,0.3333333333333333,0.5
387,0.3333333333333333,1.0,0.3333333333333333,0.5
388,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
389,0.5,1.0,0.5,1.0
390,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
391,0.5,inf,0.5,1.0
392,0.3333333333333333,0.5,0.25,0.25
393,1.0,1.0,1.0,1.0
394,0.5,0.5,0.3333333333333333,0.5
395,0.5,1.0,0.5,1.0
396,0.25,0.5,0.3333333333333333,0.3333333333333333
397,0.3333333333333333,1.0,0.5,1.0
398,0.3333333333333333,0.5,0.25,0.3333333333333333
399,1.0,inf,0.5,1.0
400,0.3333333333333333,0.3333333333333333,0.25,0.25
401,0.5,1.0,0.3333333333333333,0.3333333333333333
402,0.25,0.5,0.25,0.3333333333333333
403,0.5,inf,1.0,0.5
404,0.3333333333333333,0.5,0.3333333333333333,0.5
405,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333
406,inf,1.0,1.0,inf
407,0.5,inf,0.5,0.5
408,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
409,0.3333333333333333,1.0,0.5,0.5
410,0.3333333333333333,1.0,0.3333333333333333,1.0
411,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
412,0.3333333333333333,0.5,0.3333333333333333,1.0
413,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
414,1.0,inf,1.0,inf
415,1.0,inf,1.0,inf
416,1.0,inf,1.0,inf
417,0.3333333333333333,0.3333333333333333,0.25,0.25
418,0.25,0.25,0.25,0.3333333333333333
419,0.3333333333333333,0.5,0.25,0.3333333333333333
420,0.5,1.0,0.3333333333333333,0.5
421,0.5,1.0,0.3333333333333333,0.5
422,0.3333333333333333,0.5,0.25,0.5
423,0.3333333333333333,1.0,0.3333333333333333,0.5
424,0.3333333333333333,0.5,0.25,0.25
425,1.0,1.0,1.0,1.0
426,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
427,0.5,1.0,0.5,0.5
428,0.5,inf,0.5,0.5
429,0.3333333333333333,0.5,0.25,0.25
430,0.5,0.5,0.3333333333333333,0.5
431,0.25,0.5,0.25,0.5
432,inf,inf,1.0,inf
433,0.3333333333333333,1.0,0.5,1.0
434,0.5,1.0,0.3333333333333333,0.5
435,0.3333333333333333,1.0,0.5,1.0
436,0.5,1.0,0.5,inf
437,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
438,0.3333333333333333,1.0,0.25,0.3333333333333333
439,0.25,0.5,0.3333333333333333,0.3333333333333333
440,1.0,1.0,0.5,1.0
441,0.3333333333333333,1.0,0.5,0.3333333333333333
442,1.0,inf,inf,inf
443,0.3333333333333333,0.5,0.5,0.5
444,1.0,1.0,0.3333333333333333,0.5
445,1.0,inf,1.0,inf
446,0.5,inf,0.5,inf
447,0.25,0.5,0.25,0.5
448,0.3333333333333333,1.0,0.5,1.0
449,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25
450,0.5,1.0,0.5,1.0
451,0.3333333333333333,1.0,0.3333333333333333,0.5
452,0.5,1.0,0.5,1.0
453,1.0,inf,1.0,inf
454,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
455,inf,1.0,1.0,1.0
456,0.5,1.0,1.0,inf
457,0.3333333333333333,0.5,0.3333333333333333,0.5
458,1.0,inf,1.0,inf
459,0.3333333333333333,0.5,0.25,0.5
460,0.25,0.5,0.3333333333333333,0.3333333333333333
461,1.0,1.0,1.0,1.0
462,1.0,inf,1.0,0.5
463,0.5,inf,0.5,1.0
464,0.3333333333333333,0.5,0.3333333333333333,0.5
465,0.5,1.0,1.0,1.0
466,0.5,1.0,0.3333333333333333,0.3333333333333333
467,0.3333333333333333,0.5,0.3333333333333333,0.5
468,0.25,0.5,0.25,0.3333333333333333
469,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
470,0.3333333333333333,1.0,0.5,0.5
471,1.0,inf,inf,inf
472,1.0,inf,inf,inf
473,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
474,1.0,inf,1.0,inf
475,0.3333333333333333,1.0,0.25,0.3333333333333333
476,0.5,1.0,1.0,1.0
477,inf,1.0,0.5,1.0
478,1.0,inf,inf,1.0
479,0.3333333333333333,1.0,0.5,1.0
480,0.5,0.5,0.3333333333333333,0.3333333333333333
481,1.0,inf,inf,inf
482,0.3333333333333333,0.5,0.25,0.25
483,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
484,0.5,1.0,0.25,0.3333333333333333
485,0.5,1.0,0.3333333333333333,1.0
486,0.3333333333333333,1.0,0.3333333333333333,inf
487,0.5,inf,1.0,inf
488,0.25,0.5,0.25,0.25
489,0.5,1.0,0.3333333333333333,0.5
490,0.5,1.0,0.3333333333333333,1.0
491,0.5,0.5,0.3333333333333333,1.0
492,0.5,0.5,0.3333333333333333,0.5
493,0.25,0.5,0.25,0.3333333333333333
494,1.0,inf,inf,1.0
495,1.0,inf,1.0,inf
496,0.5,0.5,0.3333333333333333,0.3333333333333333
497,0.3333333333333333,0.5,0.3333333333333333,0.5
498,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
499,0.5,1.0,0.5,0.5
500,1.0,1.0,0.5,1.0
501,0.5,1.0,0.3333333333333333,0.5
502,1.0,inf,1.0,1.0
503,0.25,0.5,0.25,0.25
504,0.5,1.0,0.5,0.5
505,0.3333333333333333,1.0,0.3333333333333333,0.5
506,0.5,inf,1.0,1.0
507,1.0,inf,inf,inf
508,0.5,1.0,0.5,1.0
509,1.0,inf,1.0,inf
510,1.0,inf,0.5,inf
511,0.5,0.5,0.3333333333333333,1.0
512,0.25,0.5,0.25,0.5
513,0.5,1.0,0.5,0.3333333333333333
514,0.3333333333333333,1.0,0.25,0.3333333333333333
515,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
516,0.5,0.5,0.3333333333333333,0.3333333333333333
517,0.5,0.5,0.3333333333333333,0.5
518,0.5,1.0,0.3333333333333333,1.0
519,0.5,1.0,0.3333333333333333,1.0
520,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
521,0.5,1.0,0.5,1.0
522,1.0,inf,1.0,inf
523,1.0,inf,inf,inf
524,0.5,1.0,0.3333333333333333,0.5
525,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
526,1.0,1.0,0.5,1.0
527,0.5,1.0,0.3333333333333333,0.3333333333333333
528,0.5,1.0,0.3333333333333333,1.0
529,0.5,inf,0.5,1.0
530,0.25,0.5,0.25,0.5
531,1.0,1.0,0.5,1.0
532,0.3333333333333333,1.0,0.3333333333333333,1.0
533,0.3333333333333333,1.0,0.5,1.0
534,1.0,1.0,0.5,1.0
535,0.3333333333333333,0.5,0.25,0.3333333333333333
536,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
537,1.0,inf,inf,inf
538,1.0,inf,1.0,inf
539,0.3333333333333333,0.5,0.25,0.3333333333333333
540,0.5,1.0,0.5,0.5
