,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6
CEP,4.067889298887767,0.1188864159343743,0.492662289519294,0.0,2.0,3.046129940888136,0.11237733707871181
DSCT,0.04008238528120864,0.07600240905915778,0.6457256843807007,0.00018309160763185783,1.75,2.111175842883993,0.050151479755997264
RR,0.11960081021493729,0.09428552646287197,0.25198694097446417,0.0,0.0,1.628062588739482,0.03979445982996192
RRc,0.0743474477895254,0.03402333783807887,0.40071393355426466,0.0,0.0,2.2511762491667255,0.0491606933264955
