,EA_conf,NotEA_conf
0,inf,0.08108515646891883
1,inf,0.08108515646891883
2,inf,inf
3,inf,0.08108515646891883
4,inf,inf
5,inf,inf
6,0.0627447501521638,0.08108515646891883
7,inf,0.08108515646891883
8,inf,inf
9,0.0627447501521638,0.08108515646891883
10,inf,inf
11,inf,0.08108515646891883
12,inf,0.08108515646891883
13,inf,inf
14,inf,0.08108515646891883
15,inf,inf
16,inf,0.08108515646891883
17,inf,inf
18,0.0627447501521638,0.08108515646891883
19,0.0627447501521638,0.08108515646891883
20,0.0627447501521638,0.08108515646891883
21,inf,inf
22,inf,inf
23,0.0627447501521638,0.08108515646891883
24,inf,0.08108515646891883
25,0.0627447501521638,0.08108515646891883
26,0.0627447501521638,0.08108515646891883
27,0.0627447501521638,0.08108515646891883
28,inf,0.08108515646891883
29,inf,0.08108515646891883
30,0.0627447501521638,0.08108515646891883
31,0.0627447501521638,0.08108515646891883
32,inf,0.08108515646891883
33,inf,0.08108515646891883
34,inf,0.08108515646891883
35,0.0627447501521638,0.08108515646891883
36,0.0627447501521638,0.08108515646891883
37,inf,0.08108515646891883
38,inf,0.08108515646891883
39,inf,inf
40,inf,inf
41,inf,0.08108515646891883
42,inf,0.08108515646891883
43,inf,0.08108515646891883
44,inf,0.08108515646891883
45,inf,0.08108515646891883
46,inf,inf
47,inf,inf
48,inf,0.08108515646891883
49,inf,0.08108515646891883
50,inf,0.08108515646891883
51,inf,0.08108515646891883
52,inf,0.08108515646891883
53,inf,0.08108515646891883
54,0.0627447501521638,0.08108515646891883
55,inf,0.08108515646891883
56,0.0627447501521638,0.08108515646891883
57,inf,0.08108515646891883
58,inf,inf
59,inf,0.08108515646891883
60,inf,0.08108515646891883
61,inf,0.08108515646891883
62,0.0627447501521638,0.08108515646891883
63,inf,0.08108515646891883
64,inf,0.08108515646891883
65,inf,0.08108515646891883
66,inf,inf
67,inf,0.08108515646891883
68,0.0627447501521638,0.08108515646891883
69,inf,0.08108515646891883
70,inf,0.08108515646891883
71,inf,0.08108515646891883
72,0.0627447501521638,0.08108515646891883
73,0.0627447501521638,0.08108515646891883
74,inf,0.08108515646891883
75,inf,0.08108515646891883
76,inf,inf
77,0.0627447501521638,0.08108515646891883
78,0.0627447501521638,0.08108515646891883
79,0.0627447501521638,0.08108515646891883
80,inf,inf
81,inf,0.08108515646891883
82,inf,0.08108515646891883
83,inf,0.08108515646891883
84,inf,0.08108515646891883
85,0.0627447501521638,0.08108515646891883
86,inf,0.08108515646891883
87,inf,0.08108515646891883
88,inf,inf
89,inf,0.08108515646891883
90,inf,inf
91,0.0627447501521638,0.08108515646891883
92,inf,0.08108515646891883
93,inf,inf
94,inf,0.08108515646891883
95,inf,0.08108515646891883
96,inf,0.08108515646891883
97,inf,inf
98,inf,inf
99,inf,0.08108515646891883
100,inf,0.08108515646891883
101,0.0627447501521638,0.08108515646891883
102,inf,0.08108515646891883
103,0.0627447501521638,0.08108515646891883
104,inf,inf
105,0.0627447501521638,0.08108515646891883
106,0.0627447501521638,0.08108515646891883
107,inf,0.08108515646891883
108,inf,0.08108515646891883
109,inf,inf
110,inf,inf
111,0.0627447501521638,0.08108515646891883
112,inf,0.08108515646891883
113,inf,0.08108515646891883
114,inf,0.08108515646891883
115,0.0627447501521638,0.08108515646891883
116,inf,0.08108515646891883
117,inf,0.08108515646891883
118,inf,inf
119,inf,0.08108515646891883
120,0.0627447501521638,0.08108515646891883
121,inf,0.08108515646891883
