Feature Name,Relative Importance
IAR_phi_r,0.053387533875338754
AndersonDarling_r,0.04688346883468834
MHPS_low_r,0.03739837398373984
GP_DRW_tau_r,0.03712737127371274
Period_band_r,0.03631436314363142
Gskew_r,0.034959349593495934
MHPS_ratio_r,0.03360433604336044
Autocor_length_r,0.03252032520325201
Harmonics_mag_1_r,0.023306233062330615
Skew_r,0.021409214092140905
SmallKurtosis_r,0.02032520325203251
Beyond1Std_r,0.017615176151761523
SF_ML_gamma_r,0.017344173441734424
MHPS_high_r,0.014092140921409224
StetsonK_r,0.012466124661246613
Amplitude_r,0.010840108401084004
Rcs_r,0.003794037940379391
Eta_e_r,0.0013550135501355087
Psi_eta_r,0.0013550135501355087
PercentAmplitude_r,0.0013550135501355087
Harmonics_phase_6_r,0.0008130081300813053
Harmonics_phase_2_r,0.0008130081300813053
Harmonics_phase_5_r,0.0005420054200542035
LinearTrend_r,0.0005420054200542035
Pvar_r,0.0
Psi_CS_r,-0.00027100271002710173
Harmonics_phase_7_r,-0.0005420054200542035
Mean_r,-0.0016260162601626105
Harmonics_phase_3_r,-0.0018970189701897123
Harmonics_phase_4_r,-0.0037940379403794246
