,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19
CEP,3.1901456454580805,0.14911438883170647,0.04496318797063613,6.393705273550724,2.072093116355172,0.25861393704050395,0.07642482525761074,0.007299202043666738,1.99600769832057,1.703398849590508,1.9004399197298794,11.40612050097735,0.08067606549523085,0.2913855988050165,0.1639701953811109,0.07674370360963094,7.439795264639997,0.05702603579474239,0.27060382841186065,6.71919432414525e-05
DSCT,2.2008273344692855,0.01519980511287535,0.013251530081645115,0.03808250056065442,618842.9380474188,0.44107153384127357,0.3710812235963879,0.013269823131707237,1.9173674206795839,1.753077023838366,1.8810289272856693,6.245074904250968,0.055261518134992596,0.34608888816349836,0.058470737398900706,0.03831311103374435,38.826897802492184,0.046777630270578796,0.0735724678205676,2.8620500733299622e-05
RR,3.998690269396911,0.14273344074763683,0.0739029611302874,0.9485755304729404,0.901059152385591,0.2780644388715341,0.0641284935229692,0.013609062077547076,2.4869931920537263,1.5443518279092698,1.9696736313677021,7.346112067193324,0.055445104453939194,0.11905370345281546,0.17316017274665388,0.05076978595801198,1.080132544836348,0.04336825725719768,0.124985634979489,5.289073594478436e-05
RRc,3.469318722535704,0.040700043313847335,0.018306576026960775,0.12029004608861395,0.5043127036862294,0.29881788708602336,0.035221127372820155,0.004802857745905399,1.3346552955588977,2.153900128643375,1.6603684316215452,3.2158660393238137,0.062027351268247786,0.38531030174920083,0.06446803062876205,0.04578919536006233,1.983348767872203,0.03478103780875259,0.13110919826139733,2.6017177422300293e-05
