,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
BYDra,2.7616418286102977,0.0812636586722365,0.43110053495482226,0.003291022773981,3.6308416219939432,3.1042770081315956,3.2885082102433927,2.9365989937440418,0.6016015130679194,0.0265407499999987,1.217549902656919,0.0767725571030347,0.6402813121032467,4.080001149614853e-05
RSCVN,3.3092286374379443,0.08276139322077813,0.6215415221613512,0.003063795430458975,3.515723999022166,3.21807372779615,3.3450392422471653,3.2316577290669075,0.617626950587082,0.027762025000007302,1.2499794489967009,0.07100754405208883,0.6086109576662804,2.6768046873185894e-05
