,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
BYDra,1.143682647523414,0.1818698436388139,1.306370131056839,0.0032169110786865,2.771137640834771,2.83404320144258,3.222962715063799,3.0408894689647856,0.5504939630159091,0.0046931000000007,0.3067747429088827,0.0414877536540984,0.3125183943797943,-1.8103156040748647e-06
RSCVN,1.1265102765799637,0.21416837612487916,1.0418165972121392,0.0022987272330352,3.1270659109209227,3.079778638073492,3.063108910132555,3.30386973920961,0.5458772015417619,0.00467249999999445,0.08935864044775615,0.02099388184137915,0.1081716248793892,-2.1781842893800656e-06
