,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22
CEP,0.046596332453191294,4.067889298887767,1.051515144875089,0.24443632197227738,0.1188864159343743,0.492662289519294,3.679512423365778,2.590131792106325,2.512509830115697,3.2985143150811993,0.1732988750000004,0.09017517136329023,0.0500855175266741,0.1823730999999994,3.046129940888136,0.18285548751538946,0.019051250503613903,0.11237733707871181,0.5864194923000144,0.7007802259760982,0.05280494507100497,0.0634891529512437,6.100125843332291e-05
DSCT,0.006646771573286975,0.04008238528120864,0.03488755173027602,0.7058217628694565,0.07600240905915778,0.6457256843807007,3.3525120241498314,2.8351921921861556,2.9990716509839292,3.253096688362767,0.09969399999999953,0.06071609121201221,0.49210656706601474,0.047445075000001495,2.111175842883993,0.19505030944813034,0.009752022613691999,0.050151479755997264,0.38139293598612467,0.9872985012217901,0.04587159803405738,0.039279349329260096,1.1718689520284967e-05
RR,0.09032202791422611,0.11960081021493729,0.1741939217136303,0.29880405043527397,0.09428552646287197,0.25198694097446417,5.416068344318305,1.2626292323473325,1.8949195044593616,3.471103423631538,0.13470450624999897,0.06914277940837399,0.05262667751134125,0.23943483750000638,1.628062588739482,0.13917670632861423,0.017138429354516455,0.03979445982996192,0.383543356018133,0.5745543528224968,0.03182738874835844,0.03654205541077497,3.683722355928827e-05
RRc,0.0214301045052707,0.0743474477895254,0.13958496180524188,0.3736059611522866,0.03402333783807887,0.40071393355426466,1.4195066530778666,4.2794208799338715,2.842811425372089,2.656085293460568,0.05545305000000028,0.1005596742417812,0.1716614519354125,0.07426682499999955,2.2511762491667255,0.13482013900443668,0.006365555752206851,0.0491606933264955,0.23742655609119961,0.5515731151577445,0.04204902968278079,0.0355773525352529,2.7400809732987186e-05
